prerequisito_id,course_id,nucleo
LEC_0073,LEC_0092,Lectura
LEC_0109,LEC_0092,Lectura
LEC_0085,LEC_0098,Lectura
LEC_0109,LEC_0104,Lectura
LEC_0079,LEC_0104,Lectura
LEC_0091,LEC_0110,Lectura
LEC_0109,LEC_0116,Lectura
LEC_0062,LEC_0063,Lectura
LEC_0092,LEC_0063,Lectura
LEC_0062,LEC_0069,Lectura
LEC_0092,LEC_0075,Lectura
LEC_0080,LEC_0081,Lectura
LEC_0080,LEC_0087,Lectura
LEC_0068,LEC_0093,Lectura
LEC_0116,LEC_0093,Lectura
LEC_0104,LEC_0099,Lectura
LEC_0068,LEC_0099,Lectura
LEC_0074,LEC_0105,Lectura
LEC_0116,LEC_0105,Lectura
LEC_0104,LEC_0111,Lectura
LEC_0110,LEC_0111,Lectura
LEC_0086,LEC_0117,Lectura
LEC_0117,LEC_0064,Lectura
LEC_0099,LEC_0064,Lectura
LEC_0111,LEC_0070,Lectura
LEC_0081,LEC_0076,Lectura
LEC_0087,LEC_0076,Lectura
LEC_0093,LEC_0082,Lectura
LEC_0111,LEC_0088,Lectura
LEC_0069,LEC_0094,Lectura
LEC_0081,LEC_0100,Lectura
LEC_0093,LEC_0106,Lectura
LEC_0117,LEC_0112,Lectura
LEC_0081,LEC_0118,Lectura
LEC_0117,LEC_0118,Lectura
LEC_0070,LEC_0065,Lectura
LEC_0064,LEC_0071,Lectura
LEC_0082,LEC_0071,Lectura
LEC_0064,LEC_0077,Lectura
LEC_0070,LEC_0083,Lectura
LEC_0082,LEC_0089,Lectura
LEC_0088,LEC_0089,Lectura
LEC_0106,LEC_0095,Lectura
LEC_0082,LEC_0095,Lectura
LEC_0076,LEC_0101,Lectura
LEC_0106,LEC_0101,Lectura
LEC_0106,LEC_0107,Lectura
LEC_0082,LEC_0113,Lectura
LEC_0070,LEC_0119,Lectura
CIE_0156,CIE_0121,Ciencias
CIE_0150,CIE_0121,Ciencias
CIE_0156,CIE_0127,Ciencias
CIE_0120,CIE_0133,Ciencias
CIE_0126,CIE_0139,Ciencias
CIE_0120,CIE_0139,Ciencias
CIE_0150,CIE_0145,Ciencias
CIE_0138,CIE_0151,Ciencias
CIE_0138,CIE_0157,Ciencias
CIE_0162,CIE_0163,Ciencias
CIE_0132,CIE_0163,Ciencias
CIE_0132,CIE_0169,Ciencias
CIE_0162,CIE_0175,Ciencias
CIE_0127,CIE_0122,Ciencias
CIE_0169,CIE_0128,Ciencias
CIE_0121,CIE_0134,Ciencias
CIE_0169,CIE_0140,Ciencias
CIE_0121,CIE_0140,Ciencias
CIE_0139,CIE_0146,Ciencias
CIE_0157,CIE_0152,Ciencias
CIE_0163,CIE_0158,Ciencias
CIE_0157,CIE_0164,Ciencias
CIE_0133,CIE_0170,Ciencias
CIE_0121,CIE_0176,Ciencias
CIE_0146,CIE_0123,Ciencias
CIE_0146,CIE_0129,Ciencias
CIE_0170,CIE_0135,Ciencias
CIE_0164,CIE_0141,Ciencias
CIE_0134,CIE_0141,Ciencias
CIE_0146,CIE_0147,Ciencias
CIE_0122,CIE_0153,Ciencias
CIE_0170,CIE_0159,Ciencias
CIE_0122,CIE_0159,Ciencias
CIE_0152,CIE_0165,Ciencias
CIE_0122,CIE_0165,Ciencias
CIE_0176,CIE_0171,Ciencias
CIE_0170,CIE_0177,Ciencias
CIE_0135,CIE_0124,Ciencias
CIE_0123,CIE_0124,Ciencias
CIE_0129,CIE_0130,Ciencias
CIE_0135,CIE_0130,Ciencias
CIE_0177,CIE_0136,Ciencias
CIE_0141,CIE_0142,Ciencias
CIE_0129,CIE_0148,Ciencias
CIE_0141,CIE_0154,Ciencias
CIE_0123,CIE_0154,Ciencias
CIE_0129,CIE_0160,Ciencias
CIE_0159,CIE_0160,Ciencias
CIE_0177,CIE_0166,Ciencias
CIE_0171,CIE_0166,Ciencias
CIE_0147,CIE_0172,Ciencias
CIE_0153,CIE_0178,Ciencias
CIE_0148,CIE_0125,Ciencias
CIE_0136,CIE_0131,Ciencias
CIE_0148,CIE_0137,Ciencias
CIE_0166,CIE_0137,Ciencias
CIE_0130,CIE_0143,Ciencias
CIE_0166,CIE_0149,Ciencias
CIE_0178,CIE_0155,Ciencias
CIE_0130,CIE_0155,Ciencias
CIE_0172,CIE_0161,Ciencias
CIE_0172,CIE_0167,Ciencias
CIE_0136,CIE_0173,Ciencias
CIE_0130,CIE_0179,Ciencias
